Rank,Name,Kingdom,Honor Points
1,['ANG] angFluffy,#3923,167038
2,['ANG] angFunny,#3923,138809
3,['ANG] angSuntzu,#3923,134244
4,['ANG] angBun,#3923,125628
5,['ANG] RUSkyLord,#3923,115572
6,['ANG] angKomVD2,#3923,113795
7,['ANG] VN kenji,#3923,109805
8,['ANG] angFnDuke,#3923,103859
9,['ANG] EF SàuVôLệ,#3923,101953
10,['ANG] angshorty,#3923,98074
11,['ANG] Fluffy Jester,#3923,95444
12,['ANG] Fluffy Queen,#3923,95063
13,['ANG] ang FRODO,#3923,94127
14,['ANG] Zaebali,#3923,93510
15,['ANG] TURAN80g,#3923,92074
16,['ANG] angGiaHuy,#3923,91854
17,['ANG] angorzrzi,#3923,91483
18,['ANG] Dela Steven,#3923,90328
19,['ANG] angBBQSGE,#3923,89267
20,['ANG] angClayFM,#3923,88018
21,['ANG] angLunar,#3923,87290
22,['ANG] angRaijin,#3923,85770
23,['ANG] angCain,#3923,84947
24,['ANG] LM GiuliaFC,#3923,83857
25,['ANG] angKaiLey,#3923,83317
26,['ANG] Queen of Chaos,#3923,83217
27,['ANG] angBryan,#3923,82632
28,['ANG] A L B O S S,#3923,82321
29,['ANG] GLordMai,#3923,81513
30,['ANG] ANH TUAN 1,#3923,80987
31,['ANG] angSadgame,#3923,80368
32,['ANG] unlimit,#3923,80027
33,['ANG] angBáOo,#3923,77642
34,['ANG] angDooffy,#3923,77428
35,['ANG] sLGouverneur,#3923,76720
36,['ANG] LOLI,#3923,76508
37,['ANG] angPanh,#3923,75652
38,['ANG] ang cloud,#3923,71498
39,['ANG] 세계평화,#3923,70976
40,['ANG] angwinkvk,#3923,69689
41,['ANG] Armstrong jr XL,#3923,68572
42,['ANG] BiNganHoa,#3923,67804
43,['ANG] Ронка,#3923,67776
44,['ANG] sICAPITAN,#3923,66626
45,['ANG] bySel,#3923,66591
46,['ANG] angSsOren,#3923,66335
47,['ANG] Aw Kozak,#3923,65881
48,['ANG] anglady,#3923,63219
49,['ANG] angbear,#3923,62629
50,['ANG] Scacco A,#3923,62164
51,['ANG] KKJilsssss,#3923,60219
52,['ANG] angZdrawe,#3923,60188
53,['ANG] angObi,#3923,58677
54,['ANG] angRudues,#3923,57601
55,['ANG] Gund,#3923,56178
56,['ANG] lml Keter lml,#3923,55734
57,['ANG] angMilos,#3923,54443
58,['ANG] DaRkNatO,#3923,54180
59,['ANG] SAMXINH,#3923,53791
60,['ANG] angNhi,#3923,53455
61,['ANG] angAlcar,#3923,53137
62,['ANG] sir Yuckfou,#3923,53135
63,['ANG] Fluffy Lover,#3923,51356
64,['ANG] angTGL,#3923,50875
65,['ANG] gladiador 28,#3923,49638
66,['ANG] angNECO,#3923,48816
67,['ANG] angDraken,#3923,47392
68,['ANG] angCowl,#3923,45467
69,['ANG] angNolie,#3923,44745
70,['ANG] Bụng báo,#3923,43831
71,['ANG] angLukes,#3923,43563
72,['ANG] angSonk8,#3923,42693
73,['ANG] Stultitia,#3923,41772
74,['ANG] MULYONO 11rb T,#3923,41269
75,['ANG] Batussai,#3923,39583
76,['ANG] angTomb,#3923,39308
77,['ANG] KKNaraci747,#3923,37350
78,['ANG] angVael,#3923,36339
79,['ANG] Máximoss,#3923,32735
80,['ANG] angBbyVix,#3923,32121
81,['ANG] AV✖Sirelli,#3923,31911
82,['ANG] angJo,#3923,31781
83,['ANG] angNotor,#3923,30781
84,['ANG] RUCHEZEE,#3923,29560
85,['ANG] Halah Asu,#3923,28793
86,['ANG] angAkka,#3923,28310
87,['ANG] ILFuriaaa,#3923,27752
88,['ANG] KK Ragnar,#3923,27361
89,['ANG] reeeldid,#3923,26604
90,['ANG] Wallerun I,#3923,26447
91,['ANG] RUDark,#3923,26342
92,['ANG] KK Escipion,#3923,24787
93,['ANG] KouSmiNaS,#3923,24399
94,['ANG] anghungvv,#3923,24046
95,['ANG] angSunman,#3923,22564
96,['ANG] angyigitl,#3923,21517
97,['ANG] ang STEPHENлж,#3923,21344
98,['ANG] angXtelli,#3923,20676
99,['ANG] angsóc,#3923,20621
100,['ANG] APOYYY EMPIRE,#3923,20454
101,['ANG] angNev✖,#3923,20171
102,['ANG] angBryanV,#3923,17923
103,['ANG] ksa 511,#3923,17197
104,['ANG] angShroud,#3923,16436
105,['ANG] Aminvn22,#3923,15898
106,['ANG] angHoangg,#3923,15240
107,['ANG] Ahmad511,#3923,15138
108,['ANG] angBakr,#3923,14481
109,['ANG] Sysstem,#3923,13300
110,['ANG] angsuet,#3923,9925
111,['ANG] thegoathimself,#3923,9465
112,['ANG] RU HoangRed,#3923,9046
113,['ANG] angTRAP,#3923,8591
114,['ANG] nleander112,#3923,7676
115,['ANG] AcDeputatovaDi,#3923,6957
116,['ANG] ZFR5339,#3923,6955
117,['ANG] GL Mixuee,#3923,6466
118,['ANG] angFunny2,#3923,5936
119,['ANG] angAL0NE,#3923,2316
120,['ANG] angSoutz,#3923,0
121,['ANG] Đào 93,#3923,0
122,['ANG] CalcaFarm5,#3923,0
123,['ANG] MadFluffy,#3923,0
124,['ANG] NhiDây1,#3923,0
