Rank,Name,Kingdom,Honor Points
1,KK monkey d,#3923,188922
2,angFluffy,#3923,172349
3,angSuntzu,#3923,145153
4,angFunny,#3923,142921
5,Fisto x 23,#3923,142636
6,angBun,#3923,130639
7,AvBlizt,#3923,130082
8,KK Asmodeus,#3923,123681
9,KKGru,#3923,122706
10,RUSkyLord,#3923,120808
11,angKomVD2,#3923,120100
12,KK Nam,#3923,119869
13,BagueArt69,#3923,118168
14,KK B A S I L,#3923,115007
15,VN kenji,#3923,114189
16,angFnDuke,#3923,109953
17,AcT U R B ♡,#3923,108000
18,EF SàuVôLệ,#3923,107926
19,angCalca,#3923,106021
20,angshorty,#3923,105519
21,KK Padang,#3923,102144
22,PTQ 8 PRIME,#3923,101802
23,A1122,#3923,101342
24,Fluffy Jester,#3923,100739
25,angLunar,#3923,100352
26,Fluffy Queen,#3923,100208
27,DR Rajah117,#3923,98785
28,Zaebali,#3923,96361
29,KKNicohZen,#3923,95952
30,Dela Steven,#3923,95824
31,angorzrzi,#3923,95625
32,ang FRODO,#3923,95302
33,TURAN80g,#3923,94503
34,angGiaHuy,#3923,94004
35,angClayFM,#3923,93915
36,angBBQSGE,#3923,92009
37,angCain,#3923,88739
38,angKaiLey,#3923,88532
39,KKOxnayz,#3923,86657
40,unlimit,#3923,86306
41,ANH TUAN 1,#3923,85990
42,KK REKT,#3923,85897
43,angRaijin,#3923,85785
44,Queen of Chaos,#3923,85512
45,LM GiuliaFC,#3923,85446
46,GLordMai,#3923,85429
47,KKRobredo,#3923,84612
48,angSadgame,#3923,84214
49,angcasper,#3923,83801
50,sLGouverneur,#3923,82409
51,CZAJhieu12345h,#3923,81996
52,angBáOo,#3923,80380
53,LuLuLaLa,#3923,79242
54,KKHEWO,#3923,78833
55,KK Fszcząs,#3923,77942
56,angDooffy,#3923,77698
57,Aw BuLu,#3923,77234
58,angwinkvk,#3923,76759
59,angPanh,#3923,76572
60,KKReaperXxX,#3923,76249
61,세계평화,#3923,75365
62,KK Cipri,#3923,73938
63,ang cloud,#3923,73598
64,BiNganHoa,#3923,72470
65,Armstrong jr XL,#3923,71925
66,ang Geentg,#3923,70616
67,bySel,#3923,70391
68,Aw Kozak,#3923,68286
69,KKRangerNP,#3923,67484
70,anglady,#3923,66802
71,KKJilsssss,#3923,65509
72,angbear,#3923,64319
73,Gund,#3923,62801
74,angZdrawe,#3923,62175
75,angRudues,#3923,60111
76,angObi,#3923,59364
77,BINH F2P,#3923,58798
78,angAlcar,#3923,56902
79,angNhi,#3923,56578
80,lml Keter lml,#3923,56208
81,sir Yuckfou,#3923,56131
82,KKDaxzXxz,#3923,55519
83,angMilos,#3923,55310
84,PhɐRɐøh,#3923,52489
85,Fluffy Lover,#3923,51571
86,angTGL,#3923,51555
87,angDraken,#3923,49241
88,angCowl,#3923,49208
89,angsungod,#3923,48092
90,angNolie,#3923,45626
91,✖KKREİJACK,#3923,44785
92,Stultitia,#3923,44439
93,angLukes,#3923,43765
94,Batussai,#3923,42978
95,angSonk8,#3923,42717
96,MULYONO 11rb T,#3923,41950
97,angTomb,#3923,40813
98,angVael,#3923,39505
99,AV✖Sirelli,#3923,36250
100,angCBC,#3923,35209
101,FATIH II,#3923,33377
102,KNGJinwoo,#3923,32989
103,angJo,#3923,32917
104,angNotor,#3923,31989
105,God chosen one,#3923,30724
106,RUCHEZEE,#3923,29699
107,Wallerun I,#3923,29322
108,ILFuriaaa,#3923,28402
109,angAkka,#3923,28310
110,KK Escipion,#3923,27220
111,RUDark,#3923,26523
112,KouSmiNaS,#3923,25764
113,anghungvv,#3923,24091
114,angXtelli,#3923,23008
115,angSunman,#3923,22767
116,angyigitl,#3923,21893
117,ang STEPHENлж,#3923,21528
118,angsóc,#3923,20720
119,angNev✖,#3923,20310
120,angShroud,#3923,19161
121,angBryanV,#3923,18560
122,A P Rok,#3923,18332
123,angHoangg,#3923,15285
124,angBakr,#3923,14686
125,Sysstem,#3923,13300
126,angTRAP,#3923,8645
127,nleander112,#3923,7854
128,AcDeputatovaDi,#3923,7002
129,GL Mixuee,#3923,6496
130,angAL0NE,#3923,2686
131,PALLAS,#3923,33
132,Đào 93,#3923,0
133,angSoutz,#3923,0
134,MadFluffy,#3923,0
