#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,PTS,Trades,Kill Points,Death Points,Heal Points
2760,203450384,ryancorleeoone,III,3923,5485216,0,0,0,0,0,0,0,0,,,,
2761,212569460,koRTik,III,3923,3046938,0,0,0,0,0,0,0,0,,,,
2762,210337237,king of north24,III,3923,4673103,870124,0,0,0,0,0,8832,0,,,,
2769,210159601,cocogoreng,III,3923,3238856,466160,0,0,0,0,0,0,0,,,,
2770,210352028,SMITH LORD,III,3923,3318606,0,0,0,0,0,0,0,0,,,,
2772,209981108,ᴵᴸInferno,III,3923,4942791,0,0,0,0,0,0,0,0,,,,
2781,164811710,M47EYES,III,3923,6852912,0,0,0,0,0,0,0,0,,,,
2785,210468432,KENJJI,III,3923,6055328,724117,0,0,0,0,0,1008,0,,,,
2789,210366883,joac jerec,III,3923,6307630,1195375,0,0,0,0,0,21846,0,,,,
2795,210385519,ᵃⁿᵍaubsツ,III,3923,7498352,0,0,0,0,0,0,0,0,,,,
2805,210034292,кк XtaylorX,III,3923,13515104,228814,0,0,0,0,0,1068,0,,,,
2806,209664903,kk xFishieKx,III,3923,10466297,1648375,0,0,0,0,0,53948,0,,,,
2807,210317353,eeL,III,3923,3217496,0,0,0,0,0,0,0,0,,,,
2810,210319168,filins,III,3923,3646601,221888,0,0,0,0,0,2176,0,,,,
2813,210361210,Smithsoniam,III,3923,7971689,1465520,0,0,0,0,0,16859,0,,,,
2817,212129914,ᴮᴿGOLIAS1,III,3923,2959810,282826,0,0,0,0,0,6599,0,,,,
2822,210369097,rollo1946,III,3923,7384942,1444646,13986,0,0,0,0,79451,0,,,,
2825,209895642,Kasurana,III,3923,11126139,1236462,0,0,0,0,0,35145,0,,,,
2828,209764076,HypnosissJr,III,3923,3589024,0,0,0,0,0,0,0,0,,,,
2831,210300701,Gund,III,3923,12534260,2655699,10382,0,0,0,0,134001,0,,,,
2832,210919997,우주평화,III,3923,6370111,1929782,0,0,0,0,0,101953,0,,,,
2836,192389461,ʷᵒˡᶠLama3,III,3923,9050457,0,0,0,0,0,0,0,0,,,,
2844,209750456,ᶦˢPHONG KZ,III,3923,11228851,0,0,0,0,0,0,0,0,,,,
2848,210747153,Bono519,III,3923,4626280,0,0,0,0,0,0,0,0,,,,
2850,210356350,Trini Vengeance,III,3923,7591687,1857634,0,0,0,0,0,48786,0,,,,
2856,210350938,ちゃんなお,III,3923,7027338,1691990,0,0,0,0,0,102325,0,,,,
2860,210304327,Elatopia,III,3923,3641036,0,0,0,0,0,0,0,0,,,,
2874,210085288,MTrang 02,III,3923,4455313,628016,0,0,0,0,0,0,0,,,,
2876,209816696,Назар09,III,3923,9165732,2221529,0,0,0,0,0,58604,0,,,,
2879,181704202,BabyElisa2,III,3923,7935921,0,0,0,0,0,0,0,0,,,,
2888,210296439,FlowerySmiley,III,3923,6300393,1402544,0,0,0,0,0,933,0,,,,
2891,209829334,ккĪwol,III,3923,6703364,0,0,0,0,0,0,0,0,,,,
2893,210341067,Britannia 1995,III,3923,4380433,1157086,0,0,0,0,0,23539,0,,,,
2896,210013868,Bobo Fr3oon,III,3923,10479309,834988,0,0,0,0,0,420,0,,,,
2899,209901546,sir Yuckfou,III,3923,10441967,2142053,0,0,0,0,0,76445,0,,,,
2901,210353248,ThànhLộcVN96,III,3923,4483077,909638,6712,0,0,0,0,10272,0,,,,
2903,7894014,asse12,III,3923,7607341,1003214,0,0,0,0,0,2623,0,,,,
2905,210333751,Iplayindirt,III,3923,4898409,869206,0,0,0,0,0,21025,0,,,,
2910,210294418,Dalwyn,III,3923,5728676,0,0,0,0,0,0,0,0,,,,
2911,211292846,Durarad,III,3923,3388559,0,0,0,0,0,0,0,0,,,,
2920,210363054,mangkanor,III,3923,5026381,1077910,0,0,0,0,0,81274,0,,,,
2923,210871489,Donn Carlo,III,3923,4861437,870014,0,0,0,0,0,0,0,,,,
2924,209753258,ᴬʷMini Tooty,III,3923,5418633,379334,0,0,0,0,0,767,0,,,,
2931,210244851,Boi yếu,III,3923,3407015,6342,0,0,0,0,0,0,0,,,,
2932,210070727,Sigari,III,3923,7066161,1310659,0,0,0,0,0,53043,0,,,,
2935,210344717,AlbertoLR,III,3923,3398015,0,0,0,0,0,0,0,0,,,,
2938,210337384,İsaCan5633,III,3923,3187843,57957,0,0,0,0,0,0,0,,,,
2939,210266958,кк Alénka,III,3923,12551975,3387560,0,0,0,0,0,62735,0,,,,
2940,210293781,Postive entropy,III,3923,4420759,697164,0,0,0,0,0,3092,0,,,,
2957,210893050,Funiser,III,3923,4030698,15190,0,0,0,0,0,0,0,,,,
2963,210330728,ᴬ PADON,III,3923,7623624,1304165,0,0,0,0,0,44656,0,,,,
2964,210361139,gauanhtv,III,3923,3390679,18441,0,0,0,0,0,0,0,,,,
2965,210300797,ROK8129,III,3923,7323017,620291,0,0,0,0,0,2808,0,,,,
2966,153587277,LeshaVoi,III,3923,8549898,0,0,0,0,0,0,0,0,,,,
2968,210332507,MonaT,III,3923,5058087,479047,0,0,0,0,0,889,0,,,,
2973,210326237,Gov Chino,III,3923,6248916,1665593,0,0,0,0,0,52128,0,,,,
2974,211070730,ᵃⁿᵍDrake1,III,3923,3732359,794926,11922,0,0,0,0,46511,0,,,,
2979,195573940,ᴱᴺ Toache,III,3923,4850867,0,0,0,0,0,0,0,0,,,,
2983,210330689,総督210330689,III,3923,4787451,940620,0,0,0,0,0,8348,0,,,,
2984,210340975,El Emperador Az,III,3923,2905840,177935,0,0,0,0,0,528,0,,,,
2994,210302151,ᴵᴮDoris,III,3923,3549107,-1873,0,0,0,0,0,0,0,,,,
2996,210295787,ᶠˢKim,III,3923,3078428,0,0,0,0,0,0,0,0,,,,
3001,210395444,ᵃⁿᵍBryanV,III,3923,10358259,2102842,0,0,0,0,0,45084,0,,,,
3005,168037807,Acc 3923,III,3923,2950713,0,0,0,0,0,0,0,0,,,,
3009,210358443,Zzoz0zozZ,III,3923,4643112,783065,0,0,0,0,0,3916,0,,,,
3012,210454775,LonelyGroom,III,3923,5190320,0,0,0,0,0,0,0,0,,,,
3014,211872558,ᴬʷDave,III,3923,4046427,0,0,0,0,0,0,0,0,,,,
3016,210303085,ClowZ,III,3923,4279146,0,0,0,0,0,0,0,0,,,,
3017,209764087,Hypnosiss,III,3923,11878828,457678,0,0,0,0,0,0,0,,,,
3019,207952921,ᵃⁿᵍCeje,III,3923,11792931,3254696,0,0,0,0,0,141867,0,,,,
3020,210386087,Houkon,III,3923,3647441,0,0,0,0,0,0,0,0,,,,
3024,210330376,soutaoi,III,3923,5735907,879672,0,0,0,0,0,4781,0,,,,
3025,210437538,ksa 511,III,3923,7949150,1322858,0,0,0,0,0,11046,0,,,,
3029,87859453,Governor87859453,III,3923,8850690,0,0,0,0,0,0,0,0,,,,
3036,205970062,AnthonyRoK,III,3923,6874453,132420,0,0,0,0,0,0,0,,,,
3039,210612649,MinhhQuann88,III,3923,2739754,0,0,0,0,0,0,0,0,,,,
3046,210442684,Луноход,III,3923,11254342,2458450,86094,0,0,0,0,342481,0,,,,
3048,210353674,PhucHungThinh,III,3923,3252958,0,0,0,0,0,0,0,0,,,,
3057,210350025,merjal,III,3923,6108614,1316943,0,0,0,0,0,8915,0,,,,
3061,209918464,angSadgame,III,3923,14178307,2954411,0,0,0,0,0,204484,0,,,,
3062,210351996,ᴬIlk Imperium,III,3923,7278552,2671497,0,0,0,0,0,89443,0,,,,
3064,210455786,A๖Tín S8,III,3923,4028823,259125,0,0,0,0,0,684,0,,,,
3065,210347711,karol39,III,3923,4693820,578681,0,0,0,0,0,1466,0,,,,
3066,210333171,Danila01,III,3923,3340195,63712,0,0,0,0,0,0,0,,,,
3072,191305409,ᴳᴼTURKs,III,3923,6179830,46182,0,0,0,0,0,0,0,,,,
3073,212464040,ᵃⁿᵍAlcarF,III,3923,3698446,0,0,0,0,0,0,0,0,,,,
3074,210343779,JohanHexx31,III,3923,3656085,0,0,0,0,0,0,0,0,,,,
3082,213785417,ᵛⁿŦequila,III,3923,3237627,0,0,0,0,0,0,0,0,,,,
3087,209751559,ᴬʷDrNefario,III,3923,8289103,1815769,0,0,0,0,0,2963,0,,,,
3090,209807851,ᴬᶜSvistyn64,III,3923,8348862,0,0,0,0,0,0,0,0,,,,
3106,209752125,N Thảo,III,3923,5619862,0,0,0,0,0,0,0,0,,,,
3112,210339470,ЗLOйXOXOL,III,3923,4136926,1040019,0,0,0,0,0,15691,0,,,,
3114,193226983,ᶻˣTürkReal,III,3923,8662614,0,0,0,0,0,0,0,0,,,,
3126,210442832,TrDat f3,III,3923,5409699,744110,2032,0,0,0,0,12424,0,,,,
3127,210361428,Thanatos450,III,3923,6086363,702218,0,0,0,0,0,1031,0,,,,
3129,210330232,AAkamee,III,3923,2795416,0,0,0,0,0,0,0,0,,,,
3130,210313384,Eliriza04,III,3923,5720625,1258122,0,0,0,0,0,23034,0,,,,
3131,49763009,Tempesh09,III,3923,8589967,48274,0,0,0,0,0,0,0,,,,
3139,210321729,To Help YOU,III,3923,3482497,544259,0,0,0,0,0,12104,0,,,,
3142,209750046,ᶦˢTattoo,III,3923,9037928,0,0,0,0,0,0,0,0,,,,
3151,210336979,ShaidowKing,III,3923,3786861,0,0,0,0,0,0,0,0,,,,
3152,209793751,Phó Tư Gió,III,3923,6012351,368345,0,0,0,0,0,0,0,,,,
3157,210329033,Kat55555,III,3923,3967282,798575,0,0,0,0,0,6860,0,,,,
3160,210370033,ExNihilus,III,3923,2719392,0,0,0,0,0,0,0,0,,,,
3171,209797941,LiOn KINGS,III,3923,4761999,0,0,0,0,0,0,0,0,,,,
3175,210302298,Makym,III,3923,5838319,1288521,0,0,0,0,0,5238,0,,,,
3179,210299045,クダマルR,III,3923,5854304,1310987,0,0,0,0,0,39440,0,,,,
3180,210414957,ᵃⁿᵍTRAP,III,3923,11788388,2976931,0,0,0,0,0,14004,0,,,,
3183,210315327,Dyl X N1KA,III,3923,4528760,565980,0,0,0,0,0,738,0,,,,
3184,210403023,Kether1,III,3923,7202294,1025085,0,0,0,0,0,14009,0,,,,
3185,210299296,LegionPrime,III,3923,4689655,1106850,0,0,0,0,0,23956,0,,,,
3186,210306329,Зелимхх,III,3923,3667932,0,0,0,0,0,0,0,0,,,,
3191,210272649,ᵃⁿᵍHoangg,III,3923,10714904,1778917,0,0,0,0,0,11396,0,,,,
3192,209692040,ᴸˢG0H4N,III,3923,6835639,109715,0,0,0,0,0,0,0,,,,
3200,210348608,Rei Capão,III,3923,4246760,555856,0,0,0,0,0,2704,0,,,,
3206,209925354,Loulianos,III,3923,2834367,0,0,0,0,0,0,0,0,,,,
3210,210505480,Toni,III,3923,3184607,0,0,0,0,0,0,0,0,,,,
3212,210516313,ᴮᴿLemierr,III,3923,6224927,1163222,42296,0,0,0,0,43141,0,,,,
3218,209760801,Stephen strange,III,3923,4461568,623804,0,0,0,0,0,12576,0,,,,
3223,210311047,Herr von Dinkel,III,3923,3413431,0,0,0,0,0,0,0,0,,,,
3231,209812374,ᴬAleReinoso42,III,3923,4505937,1172610,0,0,0,0,0,37153,0,,,,
3236,210307855,AyyıldıZ0451,III,3923,9029101,1965975,0,0,0,0,0,15202,0,,,,
3243,210594246,A7OAMR,III,3923,4177187,775658,0,0,0,0,0,960,0,,,,
3244,210313135,Данька jr,III,3923,4991317,907348,0,0,0,0,0,38860,0,,,,
3251,210856776,PancakesFarmツ,III,3923,2675544,0,0,0,0,0,0,0,0,,,,
3253,210315127,king rakha,III,3923,5565242,1439458,0,0,0,0,0,83772,0,,,,
3259,210453694,A๖Tín S5,III,3923,3979702,253924,0,0,0,0,0,209,0,,,,
3261,210303584,Arabchik1,III,3923,3453075,0,0,0,0,0,0,0,0,,,,
3265,209858112,SSRB,III,3923,9114140,664458,0,0,0,0,0,2123,0,,,,
3266,210294791,SooZ,III,3923,5618923,124552,0,0,0,0,0,0,0,,,,
3267,209813166,Carlospvp,III,3923,5029165,292505,0,0,0,0,0,3601,0,,,,
3268,209749938,asdrubale mir,III,3923,3875587,0,0,0,0,0,0,0,0,,,,
3270,210330461,Zloy1,III,3923,7362549,966070,0,0,0,0,0,5086,0,,,,
3271,209783857,LOTUSメThảo,III,3923,3934790,680731,0,0,0,0,0,862,0,,,,
3275,210440103,FloweryGrumpy,III,3923,6032510,1472578,0,0,0,0,0,1028,0,,,,
3286,210337247,Bleeed,III,3923,2763321,0,0,0,0,0,0,0,0,,,,
3288,210313466,ㅅㄱㅇ asdfghjkl,III,3923,9330915,1869446,0,0,0,0,0,129473,0,,,,
3289,210329632,amorim4500,III,3923,4890474,42415,0,0,0,0,0,2087,0,,,,
3291,78174709,Gubernur78174709,III,3923,5839998,0,0,0,0,0,0,0,0,,,,
3293,210903841,Little Ponny,III,3923,6829585,1468199,0,0,0,0,0,5323,0,,,,
3295,210976349,MTrang 01,III,3923,3999963,636620,0,0,0,0,0,0,0,,,,
3300,210138910,Toooty,III,3923,4559358,575867,0,0,0,0,0,40615,0,,,,
3302,210150606,ᴬʷBadlandsNP,III,3923,5637261,795678,0,0,0,0,0,0,0,,,,
3304,210345254,OSCURIDADcv,III,3923,8385098,1038682,0,0,0,0,0,7933,0,,,,
3307,209600696,кк Rekt 2,III,3923,13075295,330986,0,0,0,0,0,0,0,,,,
3308,210324875,Legend Popal,III,3923,3880442,681459,0,0,0,0,0,10065,0,,,,
3309,210346417,ᴿᵁDark亗,III,3923,10823757,2557189,0,0,0,0,0,41804,0,,,,
3312,210149855,ᴬᶜGr0ubh,III,3923,5390419,22250,0,0,0,0,0,0,0,,,,
3321,209674693,rAinbow,III,3923,3451674,0,0,0,0,0,0,0,0,,,,
3333,210299932,ABDULLAHCH,III,3923,4504748,0,0,0,0,0,0,0,0,,,,
3340,209823104,Granatus,III,3923,3240484,0,0,0,0,0,0,0,0,,,,
3346,210150662,кк Salán,III,3923,8318781,276225,0,0,0,0,0,0,0,,,,
3356,204228669,ᴴ乂Schwanシ,III,3923,5830101,0,0,0,0,0,0,0,0,,,,
3357,208703910,Jbryl0l,III,3923,7440532,312429,0,0,0,0,0,818,0,,,,
3362,210317970,Leodoro,III,3923,3366878,679850,0,0,0,0,0,0,0,,,,
3363,210313513,NhàChunHy,III,3923,4254445,399212,0,0,0,0,0,4044,0,,,,
3364,210352910,Creed77,III,3923,3921591,0,0,0,0,0,0,0,0,,,,
3370,210402558,lml Keter lml,III,3923,9926557,2174523,0,0,0,0,0,59161,0,,,,
3375,210329372,Patanga2palanga,III,3923,3014632,0,0,0,0,0,0,0,0,,,,
3381,209822739,ᴷᴷSinner,III,3923,13878345,2511435,574210,0,0,0,0,12796,0,,,,
3383,209848694,Leano777,III,3923,9571406,2612827,0,0,0,0,0,12364,0,,,,
3392,210347591,FaustBank II,III,3923,3076342,0,0,0,0,0,0,0,0,,,,
3393,209923149,Edwlad,III,3923,7473145,1549137,66206,0,0,0,0,61069,0,,,,
3395,211755228,sambobingung,III,3923,4695809,1423060,0,0,0,0,0,2070,0,,,,
3397,210313954,AlexiyTheThird,III,3923,4325952,649665,0,0,0,0,0,3436,0,,,,
3398,209825797,Nikki Nicolle,III,3923,4664145,883902,0,0,0,0,0,4630,0,,,,
3403,210327034,Nihat82,III,3923,3721279,877476,11212,0,0,0,0,17478,0,,,,
3408,210344500,Blue1323,III,3923,3018372,18992,0,0,0,0,0,0,0,,,,
3410,210343807,KaiserSeraph,III,3923,5454469,1487617,0,0,0,0,0,518,0,,,,
3411,210420613,voWIGGYLOVE,III,3923,7886880,1673052,0,0,0,0,0,183748,0,,,,
3414,209883262,ChronosRex,III,3923,8746005,1794827,0,0,0,0,0,40951,0,,,,
3422,208230272,Auuuuuuuuu,III,3923,3712896,0,0,0,0,0,0,0,0,,,,
3423,210137376,ᴬʷJonesy222,III,3923,4649289,689669,0,0,0,0,0,1784,0,,,,
3425,210319563,اوسجار,III,3923,3024682,0,0,0,0,0,0,0,0,,,,
3426,210362428,Mr BangToyib,III,3923,4220928,771468,0,0,0,0,0,3108,0,,,,
3435,170080254,Gubernur170080254,III,3923,5422013,0,0,0,0,0,0,0,0,,,,
3436,210331255,りんあか,III,3923,4488741,993065,0,0,0,0,0,3498,0,,,,
3438,210159538,ᴬJilssssss,III,3923,7244733,1172715,0,0,0,0,0,27542,0,,,,
3439,210346879,kronikk,III,3923,3738847,302661,0,0,0,0,0,929,0,,,,
3448,147050219,LikeLime,III,3923,6913245,0,0,0,0,0,0,0,0,,,,
3456,210302964,conquetas,III,3923,7639083,1457607,0,0,0,0,0,36491,0,,,,
3457,210137540,ᴬᴰChanCeBok,III,3923,6088617,294652,0,0,0,0,0,0,0,,,,
3464,209768033,Farukbey33,III,3923,4006854,360636,0,0,0,0,0,1126,0,,,,
3467,210317454,hosseinghanbari,III,3923,5829488,1109263,0,0,0,0,0,4399,0,,,,
3468,210294819,Ħàśàń,III,3923,4218250,363603,0,0,0,0,0,13010,0,,,,
3474,209761344,ᴬᶜ EDÜ,III,3923,7952776,0,0,0,0,0,0,0,0,,,,
3477,210644243,Darkwartch,III,3923,6450231,0,0,0,0,0,0,0,0,,,,
3480,210862249,ᵃⁿᵍTenz1,III,3923,4588623,537496,73818,0,0,0,0,26756,0,,,,
3482,210335705,wardog123,III,3923,3588794,0,0,0,0,0,0,0,0,,,,
3483,210496483,ElLisa,III,3923,5851050,622567,0,0,0,0,0,0,0,,,,
3485,210348085,OJUARA,III,3923,4765142,15700,0,0,0,0,0,0,0,,,,
3493,210035360,Gubernur210035360,III,3923,3035912,0,0,0,0,0,0,0,0,,,,
3497,209780523,SIRºNEON,III,3923,11582300,2672392,0,0,0,0,0,31072,0,,,,
3499,209836254,ᴮᵒᵒJeseN,III,3923,3543403,0,0,0,0,0,0,0,0,,,,
3502,209756757,ᵏᵏMajesteF1,III,3923,2916257,179732,0,0,0,0,0,148,0,,,,
3510,209674062,ᴳᴸ Mixuee,III,3923,14149074,1507041,0,0,0,0,0,2000,0,,,,
3512,210362606,мiyaме,III,3923,8186749,2262337,0,0,0,0,0,61246,0,,,,
3516,210323038,ᵀᴮVladislav,III,3923,5939600,41556,0,0,0,0,0,0,0,,,,
3521,210424100,ᵃⁿᵍYOOLOO,III,3923,5718088,1196576,31360,0,0,0,0,15215,0,,,,
3525,210136980,ᴬʷTowMater2,III,3923,2957791,119711,0,0,0,0,0,0,0,,,,
3526,210322887,Szgszg34,III,3923,4779631,664112,0,0,0,0,0,1440,0,,,,
3527,209752423,ᴬʷOlympicNP,III,3923,6394152,915726,0,0,0,0,0,0,0,,,,
3531,210152092,Spinni,III,3923,3732700,0,0,0,0,0,0,0,0,,,,
3532,209774665,Rosluck2,III,3923,8471931,1047507,0,0,0,0,0,7724,0,,,,
3540,210344796,Hüseyin KOÇ,III,3923,3081394,0,0,0,0,0,0,0,0,,,,
3543,205122465,ᴹᵀ AcidRain,III,3923,10168404,989765,0,0,0,0,0,1424,0,,,,
3545,197451187,아라비아킹,III,3923,6600521,0,0,0,0,0,0,0,0,,,,
3549,209880183,iMaverick,III,3923,12231814,2798270,0,0,0,0,0,226282,0,,,,
3551,210293137,J9k,III,3923,6251822,0,0,0,0,0,0,0,0,,,,
3560,210317284,Manzo777,III,3923,4577608,0,0,0,0,0,0,0,0,,,,
3561,209978031,tuấn ku,III,3923,3392808,-66787,218895,0,0,0,0,0,0,,,,
3565,210397349,ᵃⁿᵍ,III,3923,8913867,1268462,0,0,0,0,0,2439,0,,,,
3568,209858036,ᵃⁿᵍNECO,III,3923,16147771,4691422,0,0,0,0,0,194023,0,,,,
3571,180303047,ABOBAAAAAAAAAA,III,3923,4244192,0,0,0,0,0,0,0,0,,,,
3575,210306383,Правитель210306383,III,3923,3755175,469709,0,0,0,0,0,367,0,,,,
3580,209757076,BuZiMa,III,3923,5093613,956437,0,0,0,0,0,784,0,,,,
3583,210323881,UCHIHA GMG,III,3923,3729630,0,0,0,0,0,0,0,0,,,,
3585,210302577,MayDay86,III,3923,5623406,1280571,0,0,0,0,0,60484,0,,,,
3588,210316554,GAKUNBA,III,3923,4689328,-1593,0,0,0,0,0,0,0,,,,
3594,210693026,Cloak4208,III,3923,5446835,679107,0,0,0,0,0,1925,0,,,,
3598,210323840,maxx116,III,3923,4038500,0,0,0,0,0,0,0,0,,,,
3603,212602916,Sysstms farm,III,3923,4488616,653841,0,0,0,0,0,851,0,,,,
3604,172383607,Gobernador172383607,III,3923,4861339,0,0,0,0,0,0,0,0,,,,
3614,210236982,ᴬʷStuart,III,3923,6479939,1463575,0,0,0,0,0,0,0,,,,
3619,210344628,Refugiodetail,III,3923,3201909,392559,0,0,0,0,0,5068,0,,,,
3620,210329889,Ayuta,III,3923,4409677,38038,0,0,0,0,0,0,0,,,,
3621,210455809,A๖Tín S14,III,3923,3934610,244940,0,0,0,0,0,583,0,,,,
3624,212993732,Pereiro 1,III,3923,2989542,0,0,0,0,0,0,0,0,,,,
3626,210306434,Raja Doli,III,3923,3721641,0,0,0,0,0,0,0,0,,,,
3627,210364856,Max JGN,III,3923,8121500,473944,0,0,0,0,0,28203,0,,,,
3628,210442619,ᵃⁿᵍMlinka,III,3923,3403852,0,0,0,0,0,0,0,0,,,,
3630,210294481,HUSKWARNA61,III,3923,2962799,0,0,0,0,0,0,0,0,,,,
3654,210367933,Beybiii,III,3923,3472282,0,0,0,0,0,0,0,0,,,,
3659,210294474,EChaa,III,3923,5521830,70154,0,0,0,0,0,0,0,,,,
3662,209906906,ᴵᴸShinoa,III,3923,4659026,52718,0,0,0,0,0,0,0,,,,
3663,199859235,ᵀᴼᴾ HODY,III,3923,5282854,0,0,0,0,0,0,0,0,,,,
3671,210677651,ᵃⁿᵍshorty,III,3923,15784034,4601464,0,0,0,0,0,212451,0,,,,
3676,210317322,ᴬ MadaraUchia,III,3923,5528933,1350201,0,0,0,0,0,20463,0,,,,
3679,209775342,ᴵᴸEzylryb,III,3923,9043046,0,0,0,0,0,0,0,0,,,,
3680,210380900,A๖Tín S12,III,3923,4235689,315425,0,0,0,0,0,494,0,,,,
3681,210330736,Charli300,III,3923,7859272,1635763,35922,0,0,0,0,12583,0,,,,
3685,210306751,Madukara,III,3923,10210248,1999549,800506,0,0,0,0,206694,0,,,,
3686,210361410,Darwidhz,III,3923,5385624,358989,0,0,0,0,0,874,0,,,,
3687,210318950,korsandıklı,III,3923,4624498,911394,0,0,0,0,0,32491,0,,,,
3688,210297689,ᴮᵒᵒLogans,III,3923,5084504,763533,0,0,0,0,0,2982,0,,,,
3698,210298321,BannaKS,III,3923,3005236,0,0,0,0,0,0,0,0,,,,
3699,210352498,Joeboo 123,III,3923,3699513,0,0,0,0,0,0,0,0,,,,
3700,210238755,ᴬʷRockyMtnNP,III,3923,5885124,885729,0,0,0,0,0,141,0,,,,
3708,87986858,Yeraymat,III,3923,8223860,0,0,0,0,0,0,0,0,,,,
3711,210305615,Daminbek,III,3923,3164231,0,0,0,0,0,0,0,0,,,,
3719,210368045,ApXaHreJI,III,3923,6272911,1669677,0,0,0,0,0,975,0,,,,
3720,211771912,FamBiNganHoa2,III,3923,3359741,685521,0,0,0,0,0,0,0,,,,
3722,209765372,nhiu vn,III,3923,3543031,0,0,0,0,0,0,0,0,,,,
3725,210297358,ДЖУС,III,3923,3603173,227008,0,0,0,0,0,2193,0,,,,
3727,51510799,KeyJenJ,III,3923,8900058,0,0,0,0,0,0,0,0,,,,
3729,210307135,WTheF1,III,3923,8753152,1585496,0,0,0,0,0,177229,0,,,,
3732,210364170,Quang23,III,3923,3261641,-1453,0,0,0,0,0,0,0,,,,
3734,197771196,ˢʷRymaa,III,3923,7246352,0,0,0,0,0,0,0,0,,,,
3735,210310863,Äñğēł,III,3923,2931508,0,0,0,0,0,0,0,0,,,,
3743,210332159,Dc Trọn,III,3923,5638810,380597,0,0,0,0,0,3822,0,,,,
3745,210574489,짱다르크,III,3923,6788437,519020,0,0,0,0,0,0,0,,,,
3747,210330612,Wallerun I,III,3923,7252429,1713012,0,0,0,0,0,42621,0,,,,
3751,210360063,кк 인생무상,III,3923,12957927,127074,0,0,0,0,0,640,0,,,,
3755,210533875,NKT264,III,3923,6072024,577975,0,0,0,0,0,0,0,,,,
3761,209868816,ᵃⁿᵍObi,III,3923,14016922,3331303,0,0,0,0,0,111287,0,,,,
3763,210308469,ᴴᶜMer4ik亗,III,3923,3782219,0,0,0,0,0,0,0,0,,,,
3771,210360917,Kainan o,III,3923,2964471,0,0,0,0,0,0,0,0,,,,
3773,210295004,ʜᵒFram,III,3923,5192801,205390,0,0,0,0,0,0,0,,,,
3778,211861949,ᴬʷBob,III,3923,3741803,1078854,0,0,0,0,0,0,0,,,,
3779,210345187,asparuh681,III,3923,3222920,0,0,0,0,0,0,0,0,,,,
3784,213356915,Texas07F,III,3923,3176941,0,0,0,0,0,0,0,0,,,,
3788,210336227,Aykin 0089,III,3923,4775537,1085950,0,0,0,0,0,24075,0,,,,
3789,189196830,ᵈˢBlackTzyy,III,3923,8975246,0,0,0,0,0,0,0,0,,,,
3790,210002194,ThanhHuyen0,III,3923,4551906,0,0,0,0,0,0,0,0,,,,
3792,210308745,Thần Trang,III,3923,3736994,0,0,0,0,0,0,0,0,,,,
3793,209872510,ᵃⁿᵍWOLF,III,3923,7528595,504630,0,0,0,0,0,4579,0,,,,
3795,209710851,pemecah laut,III,3923,6634893,561834,0,0,0,0,0,40520,0,,,,
3806,210201912,ᵏᵏBrex,III,3923,10378456,1206175,0,0,0,0,0,3857,0,,,,
3807,210384494,monkey05f,III,3923,2949065,0,0,0,0,0,0,0,0,,,,
3808,210323432,ᴬ LordForfete,III,3923,8944130,1987128,0,0,0,0,0,90456,0,,,,
3813,210336868,Thien Vuong Lam,III,3923,2811248,0,0,0,0,0,0,0,0,,,,
3817,210341281,xs1rtw,III,3923,3168654,0,0,0,0,0,0,0,0,,,,
3820,210300570,QTruongez,III,3923,4233811,0,0,0,0,0,0,0,0,,,,
3824,209754953,ᴬʷFree,III,3923,3487765,95200,0,0,0,0,0,0,0,,,,
3825,186446630,ⁿʷᵏCorvee,III,3923,6326735,0,0,0,0,0,0,0,0,,,,
3826,210318244,Adrenaline٢,III,3923,5015829,1323079,0,0,0,0,0,19541,0,,,,
3827,210333572,Emperor Farlord,III,3923,4805668,104549,0,0,0,0,0,0,0,,,,
3832,210453709,A๖Tín S17,III,3923,3994866,305539,0,0,0,0,0,260,0,,,,
3833,204854887,ˢᵐFounden,III,3923,5705822,0,0,0,0,0,0,0,0,,,,
3838,210334743,benhvientudu,III,3923,2974420,-1989,0,0,0,0,0,0,0,,,,
3845,210344123,toloarmy,III,3923,4659994,1060658,0,0,0,0,0,24626,0,,,,
3848,210368524,執政官210368524,III,3923,9849491,1723350,0,0,0,0,0,48879,0,,,,
3858,206467276,ᴿᴿJustLenaa,III,3923,5830350,0,0,0,0,0,0,0,0,,,,
3861,210368058,Mopsik 71,III,3923,3870738,0,0,0,0,0,0,0,0,,,,
3863,210317561,Levoly,III,3923,3796089,670671,0,0,0,0,0,465,0,,,,
3867,211033740,ang HADES FRM,III,3923,3473295,332718,0,0,0,0,0,0,0,,,,
3872,204145232,eyeknight,III,3923,5271264,0,0,0,0,0,0,0,0,,,,
3878,210217035,svistynFARM,III,3923,2816660,0,0,0,0,0,0,0,0,,,,
3882,210306371,Laceki,III,3923,3712408,0,0,0,0,0,0,0,0,,,,
3884,209879940,octaviaa,III,3923,3292669,0,0,0,0,0,0,0,0,,,,
3885,210339933,قطاع غزة,III,3923,4035771,1038564,0,0,0,0,0,10757,0,,,,
3887,210366468,ElHobbith,III,3923,3762498,329978,0,0,0,0,0,135,0,,,,
3890,184669631,乂Shiva乂,III,3923,5772133,0,0,0,0,0,0,0,0,,,,
