Name,Power,Rank
angSuntzu,64645663,4
angFluffy,64111416,4
angBBQSGE,21109243,4
Fluffy Queen,19496207,4
angFunny,24677690,4
angVael,21334973,4
angCain,15288280,4
MULYONO 11rb T,18428173,3
Sysstem,74637029,3
angDooffy,21483963,3
angRaijin,21460646,3
angbear,20664821,3
angwinkvk,20589493,3
Armstrong jr XL,18773398,3
angObi,18385757,3
ILFuriaaa,17590586,3
angDraken,17341420,3
anghungvv,16494776,3
RUCHEZEE,15261620,3
GL Mixuee,15076846,3
angSoutz,15026469,3
angBakr,13828848,3
RUDark,13545604,3
angsóc,13330635,3
angNev✖,13062171,3
angJo,11163362,3
FATIH II,30472844,2
angNolie,12201422,2
Stultitia,11986395,2
Fisto x 23,50274022,1
KKNicohZen,24523016,1
angBun,23493654,1
KKRobredo,19191003,1
KK Rozz,19087114,1
unlimit,17952046,1
GLordMai,16138243,1
Fluffy Lover,15908356,1
angcasper,15080387,1
sLGouverneur,14571522,1
A1122,14055185,1
angBryanV,13544922,1
KouSmiNaS,10942002,1
Batussai,10504313,1
angSunman,10270649,1
KKHEWO,29573025,1
KKOxnayz,27223480,1
KK REKT,25231741,1
KK B A S I L,24779461,1
PALLAS,24746796,1
ang cloud,24113371,1
KKGru,23341917,1
angCalca,22735287,1
Aw BuLu,21913302,1
KK Asmodeus,21582740,1
KK Padang,21415059,1
KKReaperXxX,21347571,1
LuLuLaLa,21202907,1
KK monkey d,20950948,1
angGiaHuy,20916036,1
KK Fszcząs,20364839,1
KKRangerNP,20171533,1
BagueArt69,19754110,1
BiNganHoa,19656772,1
Aw Kozak,19385932,1
angSadgame,19280875,1
AvBlizt,19122726,1
TURAN80g,19043115,1
DR Rajah117,18491565,1
angshorty,18044759,1
KK Nam,17969377,1
Gund,16843996,1
angSonk8,16787127,1
angBáOo,16712463,1
angFnDuke,16674249,1
KKDaxzXxz,16561862,1
ang FRODO,16555452,1
KK Cipri,16285169,1
PhɐRɐøh,16254677,1
angKaiLey,16097125,1
angZdrawe,15984205,1
Fluffy Jester,15909751,1
angorzrzi,15869384,1
RUSkyLord,15764083,1
angLukes,15590808,1
angClayFM,15421488,1
angKomVD2,15359623,1
angAlcar,15337928,1
Đào 93,15336469,1
angPanh,15328741,1
Queen of Chaos,15270348,1
ANH TUAN 1,15172344,1
angTGL,14797547,1
angNotor,14644579,1
VN kenji,14621528,1
LM GiuliaFC,14316329,1
PTQ 8 PRIME,14252774,1
angTRAP,14176956,1
angHoangg,14135958,1
BINH F2P,14125179,1
angLunar,14089395,1
lml Keter lml,14015128,1
CZAJhieu12345h,13966011,1
세계평화,13822504,1
Dela Steven,13773874,1
angMilos,13503393,1
angRudues,13431299,1
anglady,13204001,1
bySel,13115759,1
sir Yuckfou,12958785,1
EF SàuVôLệ,12875063,1
KK Escipion,12844969,1
angsungod,12570369,1
ang Geentg,12540783,1
nleander112,12527385,1
angCBC,12389470,1
KKJilsssss,12289189,1
angNhi,12276411,1
angXtelli,11763587,1
angTomb,11690638,1
angyigitl,11433533,1
KNGJinwoo,11260280,1
angAkka,10821568,1
Wallerun I,10156522,1
God chosen one,10074008,1
angCowl,9954185,1
ang STEPHENлж,9769781,1
AcDeputatovaDi,9725953,1
A P Rok,9307499,1
✖KKREİJACK,9082617,1
AV✖Sirelli,8695813,1
angAL0NE,8608144,1
angShroud,7996797,1
